Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,74191,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Non-contact Electronic Wheel Gauge,850 River St,Troy,NY,12180,http://www.iem.net,8/28/15,499784
12/8/20,74007,PAR Government Systems Corporation,Corporate,Product Development,Vehicles,,,Tire Pressure Monitoring System: Phase II,421 Ridge St,Rome,NY,13440,https://www.partech.com/,3/19/10,500000
12/8/20,74048,"Folsom Technologies International, LLC",Early Stage Company,Product Development,Vehicles,,,Hydraulic Hybrid Continuously-Variable Transmission,30 Tech Valley Dr Ste 105,East Greenbush,NY,12061,http://ftivt.com/,3/23/11,500000
12/8/20,74117,EDO Corporation,Corporate,Product Development,Vehicles,,,Refuse Truck Air Body,1500 New Horizons Blvd,Amityville,NY,11701,http://www.harris.com,6/25/13,500000
12/8/20,74118,EDO Corporation,Corporate,Product Development,Vehicles,,,Hybrid-Pneumatic Drivetrain,1500 New Horizons Blvd,Amityville,NY,11701,http://www.harris.com,6/26/13,500000
12/8/20,75196,PAR Government Systems Corporation,Corporate,Product Development,Vehicles,,,Remote Tire Pressure Sensing System for Increased Fuel Efficiency,421 Ridge St,Rome,NY,13440,https://www.partech.com/,3/31/08,500000
12/8/20,75461,"Folsom Technologies International, LLC",Early Stage Company,Product Development,Vehicles,,,Hydraulic Continuously Variable Transmission for Light Duty Trucks,30 Tech Valley Dr Ste 105,East Greenbush,NY,12061,http://ftivt.com/,12/8/06,500000
12/8/20,75406,"Antares Group, Inc.",Consultant,Product Development,Vehicles,Electric,Trucks,New York State Truck Stop Electrification,7000 E Genesee Street,Fayetteville,NY,13066,http://antaresgroupinc.com/,3/2/04,516101
12/8/20,74070,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,WISE Flaw: Optical Wheel Flaw Detection System,850 River St,Troy,NY,12180,http://www.iem.net,4/23/12,536771
12/8/20,75284,Alternative Fuels Technologies Corporati,Early Stage Company,Product Development,Vehicles,,,Hybrid-Electric Vehicle Retrofit Kit,"PO BOX 202
185 Rochelle St",Bronx,NY,10464,,1/15/99,569300
12/8/20,75328,"Super Steel Schenectady, Inc.,",Corporate,Product Development,Vehicles,,,Electric Step Van,2000 7th St,Scotia,NY,12302,,3/28/01,600000
12/8/20,162517,Sentient Science Corporation,Early Stage Company,Product Development,Vehicles,Rail transport innovation,,DigitalClone Software to Accelerate Adoption of Transit Preventive Maintenance,672 Delaware Ave,Buffalo,NY,14209,http://www.sentientscience.com,8/8/19,610460
12/8/20,75446,"Environmental Energy Technologies, Inc",Early Stage Company,Product Development,Vehicles,,,Development of a Self Regenerating Particulate Trap for Diesel Emission Control,333 Metro Park,Rochester,NY,14623,http://www.environmentalEnergyTech.com,10/12/05,698620
12/8/20,75281,"AirFlow Catalyst Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Emission Control Catalyst,183 E Main St Ste 925,Rochester,NY,14604,http://www.AirFlowCatalyst.com,3/23/99,703500
12/8/20,75190,"Impact Technologies, LLC",Corporate,Product Development,Vehicles,,,Oil Quality Sensor for Vehicle Applications,200 Canal View Blvd Ste 300,Rochester,NY,14623,http://www.lockheedmartin.com,12/21/07,723914
12/8/20,75437,Rail Comm,Corporate,Product Development,Vehicles,Rail transport innovation,,Automatic Switch and Third Rail Heater Development,"RailComm
1387 Fairport Road, Building 900A",Fairport,NY,14450,http://www.railcomm.com,9/15/05,745000
12/8/20,75418,"MetroKing Motors, LLC",Early Stage Company,Product Development,Vehicles,,,Metroking Taxi Manufacturing,100 Park Ave,New York,NY,10017,,8/10/04,824970
12/8/20,75427,"Alstom Signaling, Incorporated",Corporate,Product Development,Vehicles,Rail transport innovation,,Energy-Efficient Train Control System,1025 John St,West Henrietta,NY,14586,https://www.alstom.com/our-solutions/signalling,3/31/05,947458
12/8/20,75294,"GSM Vehicles, Inc.",Early Stage Company,Product Development,Vehicles,hybrid,,Hybrid Taxi,36 Florida Ave,Plattsburgh,NY,12903,,3/25/99,954020
12/8/20,75184,"MetroKing Motors, LLC",Early Stage Company,Product Development,Vehicles,,,Metroking Production Upgrade,100 Park Ave,New York,NY,10017,,7/11/07,998800
12/8/20,75632,Unique Electric Solutions of NYS LLC,Early Stage Company,Product Development,Vehicles,Electric,,UPS Cost Competitive All-Electric Delivery Vehicle Demonstration,82 Arlington Avenue,St. James,NY,11780,http://www.uesmfg.com,5/10/17,999314
12/8/20,75434,Syracuse University,University,Product Development,Vehicles,,,Clean Diesel Technology Using Supercritical Fluids,University Place,Syracuse,NY,13244,http://www.syr.edu,3/16/05,1031762
12/8/20,75485,"Shurepower, LLC",Early Stage Company,Product Development,Vehicles,,,Hydraulic Hybrid Refuse Truck,414 Trenton Ave,Utica,NY,13502,http://www.shorepower.com/,12/2/10,1545076
12/8/20,75245,EDO Corporation,Corporate,Product Development,Vehicles,,,Hybrid-Electric Taxi,1500 New Horizons Blvd,Amityville,NY,11701,http://www.harris.com,2/26/96,1565189
12/8/20,75572,"Emissions Advantage, Inc.",Other,Product Development,Vehicles,,,Clean Diesel Best Available Technology Clearinghouse and Database,10816 Town Center Blvd. 232,Dunkirk,MD,20754,http://www.cleandieselclearinghouse.org/about.php,7/22/11,1601216
12/8/20,85740,LC DRives,Early Stage Company,Product Development,Vehicles,,,Permanent Magnet Traction Motor,65 Main St Peyton Hall Box 21,Potsdam,NY,13676,http://www.lcdrives.com,10/2/15,1650000
12/8/20,75380,"Starfire Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Ceramic Brakes,2165 Technology Dr,Schenectady,NY,12308,http://www.starfiresystems.com/,3/27/03,2792666
12/8/20,75312,"Folsom Technologies International, LLC",Early Stage Company,Product Development,Vehicles,,,Hydromechanical Continuously Variable Transmission,30 Tech Valley Dr Ste 105,East Greenbush,NY,12061,http://ftivt.com/,3/15/00,3090594
12/8/20,75452,"AirFlow Catalyst Systems, Inc.",Early Stage Company,Product Development,Vehicles,Emissions,,Catalyzed Diesel Particulate Filter,183 E Main St Ste 925,Rochester,NY,14604,http://www.AirFlowCatalyst.com,3/9/06,3200000
12/8/20,86177,Electrovaya Company,Corporate,Product Development,Vehicles,,,Lithium-ion Battery Facility for On-Road Electric Vehicles,6688 Kitimat Road,Mississauga,Ontario,,http://www.electrovaya.com,4/21/08,5544919
12/8/20,75178,Union College,University,Research Study,Vehicles,,,Efficient City Car Concept,807 Union Street,Schenectady,NY,12308,https://www.union.edu/,9/12/06,1000
12/8/20,75428,"Ruby Mountain, Inc.",Consultant,Research Study,Vehicles,,,Incentive Program for Purpose-Built Taxis,2373 E.1300 SO,Salt Lake City,UT,84108,http://rubymountaininc.com/,3/3/05,22500
12/8/20,74208,Jack M Reilly,Other,Research Study,Vehicles,,,Upstate New York Transit Study,1 Edge of Woods,Latham,NY,12110,,4/4/16,24000
12/8/20,114493,Jack M Reilly,Other,Research Study,Vehicles,,,Transit Bus Fuel Economy Study,1 Edge of Woods,Latham,NY,12110,,3/16/18,24900
12/8/20,85956,American Council for an Energy-Efficient Economy,Laboratory / Research Center,Research Study,Vehicles,,,Hydrogen R&D and Advanced Vehicle Technologies,"529 14th St NW, Suite 600",Washington,District of Columbia,20045,http://aceee.org/,10/6/05,25000
12/8/20,75212,"Polytechnic University,",University,Research Study,Vehicles,Rail transport innovation,,Feasibility Study for New Danby Powell Maglev System,6 Metrotech Ctr,Brooklyn,NY,11201,https://engineering.nyu.edu/,12/19/08,45381
12/8/20,75232,CALSPAN Corporation,Corporate,Research Study,Vehicles,,,GPS Dead-Reckoning System,4455 Genesee St,Buffalo,NY,14225,https://www.calspan.com/,1/14/09,48676
12/8/20,75237,Jeffrey L Kinzler,Venture Development Organization,Research Study,Vehicles,Rail transport innovation,,Subway Urban Freight Delivery System,"393 Old Country Road, Suite 300",Carle Place,NY,11514,http://www.GreenUrbsnFreight.com,1/20/09,49853
12/8/20,74011,Brooklyn Motorized Corporation,Early Stage Company,Research Study,Vehicles,,,Courier Electric Motorcycle,119 8th St Ste 315,Brooklyn,NY,11215,,4/1/10,49863
12/8/20,74184,Calstart,Laboratory / Research Center,Research Study,Vehicles,,,CALSTART to Lead Team in Creating E-Trucks for UPS,48 S Chester Avenue,Pasadena,CA,91106,http://www.calstart.org/Homepage.aspx,4/18/16,50000
12/8/20,75236,"New West Technologies, LLC.",Consultant,Research Study,Vehicles,,,Electric Hybrid Short Sea Shipping,4351 Garden City Dr Ste 301,Landover,MD,20785,http://www.nwttech.com/,3/24/09,50000
12/8/20,75382,Freight Pipeline Company,Other,Research Study,Vehicles,Rail transport innovation,,Underground Freight Transport in NYC,3212 Woodbine Drive,Columbia,MS,65203,,3/18/03,50000
12/8/20,168026,Reach Strategies,Consultant,Research Study,Vehicles,All electric,,Corporate EV recognition program design,"100 Shoreline Hwy, Ste 100",Mill Valley,CA,94941,http://www.reach-strategies.org,1/16/19,50000
12/8/20,173589,Electrification Coalition,Industry / Trade Association,Research Study,Vehicles,All electric,,Scaling the EV Accelerator Initiative,1111 19th St NW Suite 406,Washington,DC,20036,https://www.electrificationcoalition.org/,3/28/19,50000
12/8/20,75357,Center for Economic and Environmental Pa,Industry / Trade Association,Research Study,Vehicles,,,Green Ferry Alternatives,520 N Main St,Meadville,PA,16335,https://www.ncceed.org/,1/9/03,60000
12/8/20,74175,New York State Marin,Corporate,Research Study,Vehicles,,,Using the NYS Canal for Efficient Import/Export to Great Lake Ports,"PO Box 1216, 427 River Street",Troy,NY,12180,http://www.nysmarinehighway.com,2/4/15,63000
12/8/20,74169,Smarter Grid Solutions,Corporate,Research Study,Vehicles,,,Feasibility Study of Smart Electric Vehicle Charging,335 Madison Ave Fl 4,New York,NY,10017,http://www.smartergridsolutions.com,10/24/14,66226
12/8/20,75489,"Albany, City of,",Municipality / Government Agency,Research Study,Vehicles,,,The City of Albany NY Electric Vehicle Feasibility Study,24 Eagle St,Albany,NY,12207,https://www.albanyny.gov/Home.aspx,4/28/11,70000
12/8/20,74164,Strategies for the Global Environment,Other,Research Study,Vehicles,,,Data collection and creation of a PEV Planning and Evaluation Tool,3100 Clarendon Blvd Ste 800,Arlington,VA,22201,https://www.c2es.org/,9/24/14,74600
12/8/20,74161,M.J. Bradley & Associates,Early Stage Company,Research Study,Vehicles,,,Policy Study on Electric Vehicles and Grid Integration,47 Junction Square Drive,Concord,MA,1742,http://www.mjbradley.com,10/27/14,74674
12/8/20,75239,"New West Technologies, LLC.",Consultant,Research Study,Vehicles,,,Hybrid Trailer,4351 Garden City Dr Ste 301,Landover,MD,20785,http://www.nwttech.com/,3/24/09,74685
12/8/20,75509,"Energetics, Incorporated",Corporate,Research Study,Vehicles,,,NYSDOT Region 4 Idle Reduction Study,7067 Columbia Gateway Drive,Columbia,MD,21046,http://www.energetics.com,6/7/13,74997
12/8/20,74043,Town of Riverhead,Municipality / Government Agency,Research Study,Vehicles,Rail transport innovation,,Calverton Rail Access Rehabilitation,200 Howell Ave,Riverhead,NY,11901,http://townofriverheadny.gov/,5/19/09,75000
12/8/20,74196,The Coalition for Green Capital,Industry / Trade Association,Research Study,Vehicles,Plug in hybrids,,Innovative PEV Fleet Purchasing Models,"1875 Connecticut Avenue, NW, 10th Floor",Washington,DC,20009,http://coalitionforgreencapital.com/,12/17/15,75000
12/8/20,75473,Energy Control Systems Engineering d/b/a,Corporate,Research Study,Vehicles,,,Plug-In Hybrid Toyota Prius Demonstration:Plug-In Hybrid Toyota Prius,135 E Maple Ave,Monrovia,CA,91016,http://www.energycs.com/,12/19/06,76657
12/8/20,75217,Southern Research Institute,Laboratory / Research Center,Research Study,Vehicles,,,Fuel Efficient Technologies for Existing NYC Taxi Fleet,"MCS #215
PO Box 10992, Lock Box #992215",Birmingham,AL,35202,https://southernresearch.org/,3/31/08,81774
12/8/20,74146,NESCAUM,Laboratory / Research Center,Research Study,Vehicles,,,Participation in CA ZEV Consumer Survey,"89 South St, Suite 602",Boston,MA,2111,http://www.nescaum.org/,12/31/13,89122
12/8/20,75471,"Hybrids Plus, Inc.",Early Stage Company,Research Study,Vehicles,,,Plug-In Hybrid Ford Escape Demonstration:Plug-In Hybrid Ford Escape,3245 Prairie Ave,Boulder,CO,80301,,11/28/06,91000
12/8/20,75459,"Arun Vohra, P.E. Consulting Engineer",Early Stage Company,Research Study,Vehicles,Rail transport innovation,,Reducing Electric Losses from Rail Transit Insulators,7710 Bradley Blvd,Bethesda,MD,20817,,3/21/06,100000
12/8/20,75202,Design Trust for Public Space,Other,Research Study,Vehicles,,,Design Specification for New York City Taxi,40 Worth St Rm 603,New York,NY,10013,http://designtrust.org/,1/29/09,109500
12/8/20,74088,Research Foundation of The City,University,Research Study,Vehicles,,,Freight Tricycle Operations in New York City,230 West 41st Street,New York,NY,10036,https://www.ccny.cuny.edu/rf,7/13/12,124599
12/8/20,74085,Rensselaer Polytechnic Institute,University,Research Study,Vehicles,,,Noise Reduction Technologies to Support Off Hour Deliveries,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,5/4/12,148783
12/8/20,74087,New West Technologies LLC,Consultant,Research Study,Vehicles,,,Vessel Electrification for the New York State Canals,4351 Garden City Dr Ste 301,Landover,MD,20785,http://www.nwttech.com/,4/23/12,149168
12/8/20,87990,Research Foundation of CUNY,University,Research Study,Vehicles,New vehicle types,,"Connected, Autonomous, and Shared Vehicle Impacts Study","230 W 41st Street, 7th Floor",New York,NY,10036,https://www.rfcuny.org/RFWebsite/,12/11/17,149990
12/8/20,74201,Energetics Incorporated,Corporate,Research Study,Vehicles,,,Truck Platooning Policy Barriers Study,7067 Columbia Gateway Drive,Columbia,MD,21046,http://www.energetics.com,4/25/16,198985
12/8/20,75522,JJ Unlimited,Early Stage Company,Research Study,Vehicles,electric,charging,Development of EV Charging Implementation Plans for Upstate New York,4424 Billo Road,Clarence,NY,14031,,3/19/15,204884
12/8/20,74039,Electric Power Research Institute,Laboratory / Research Center,Research Study,Vehicles,electric,,Grid Impact of Plug-in Hybrid Electric Vehicles,"1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,5/14/09,249998
12/8/20,75297,Electric Transportation Engineering Corp,Other,Research Study,Vehicles,Electric,charging stations,Electric Vehicle Charging Infrastructure Study,30 South 2nd Avenue,Phoenix,AZ,85003,http://www.etecevs.com/,7/14/99,334150
12/8/20,86134,Southern Research Institute,Laboratory / Research Center,Research Study,Vehicles,,,Evaluation of On-Board Real-Time Particulate Emissions Measurement,"MCS #215
PO Box 10992, Lock Box #992215",Birmingham,AL,35202,https://southernresearch.org/,3/30/07,399991
12/8/20,75450,New York Power Authority,Utility,Research Study,Vehicles,Rail transport innovation,,Study: New York City Transit Rail Traction and Regenerative Energy,123 Main St,White Plains,NY,10601,http://www.nypa.gov,3/29/06,415000
12/8/20,74078,R Roopnarine,Early Stage Company,Technology Feasibility/Assessment,Vehicles,,,Switched Reluctance Motor,225 E 76st Street,New York,NY,10021,,4/23/12,49750
12/8/20,157263,MJW Advisors,Consultant,Technology Feasibility/Assessment,Vehicles,Rail transport innovation,,Feasibility of Adapting a High-Speed Rail Propulsion Technology to Urban Transit,135 East 83rd St #11B,New York,New York,10028,http://www.mjwadvisors.com/,11/18/19,125000
12/8/20,75223,ENSYS Engineering,Other,Product Development,Waste-to-energy,Anaerobic Digestor,,Fuel Adaptive Control System for Landfill Gas Electric Generators,PO Box 319,Saratoga Springs,NY,12866,,11/13/08,29566
12/8/20,87257,"Environmental Management Group International, Inc.",Early Stage Company,Business Support,Waste-to-energy,Anaerobic digestion,,Comprehensive Review of Existing Biogas Cleanup and Emission Control Systems,PO Box 1600,Media,PA,19063,http://www.emgint.com/,3/21/06,59676
12/8/20,87396,American Biogas Conditioning LLC,Early Stage Company,Business Support,Waste-to-energy,Anaerobic digestion,,Commercialization Option Program,108 Anderson Ave,Syracuse,NY,13208,,11/8/12,99316
12/8/20,103554,"EthosGen, LLC",Early Stage Company,Business Support,Waste-to-energy,,,EthosGen 76West,120 Hawley Lane,Binghamton,NY,13901,http://www.ethosgen.com/,10/30/17,250000
12/8/20,86995,Rochester Institute of Technology,University,Demonstration,Waste-to-energy,Anaerobic digestion,,Landfill Gas Utilization at Rochester Institute,1 Lomb Memorial Dr,Rochester,New York,14623,http://www.rit.edu,2/13/04,57084
12/8/20,86150,"EMG International, Inc.",Early Stage Company,Demonstration,Waste-to-energy,Anaerobic digestion,,Demonstartion of technology to reduce H2S concentrations in manure biogas,PO Box 1600,Media,PA,19063,http://www.emgint.com/,4/9/10,62643
12/8/20,87208,"Taylor Recycling Facility, LLC",Early Stage Company,Demonstration,Waste-to-energy,Anaerobic digestion,,Pre-Development of Montgomery Site for Biomass Energy Generation,350 Neelytown Rd,Montgomery,NY,12549,http://www.taylor-montgomery.com/,10/26/05,200000
